Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares
2011,Yao Ming,90,300,27,Hornets,C,1,1,5,39,34,25,59,74,98,96,85,5,41,0,73,15,52,78,34,10,6,77,63,60,96,0,17,72,45,24,73,66,7'6'',68,67,3086,13.94965858
2012,Caron Butler,79,240,28,Trailblazers,SF,3,3,6,46,62,3,93,42,31,97,91,39,89,0,68,14,82,59,100,53,95,34,6,100,64,0,51,77,65,28,93,61,6'7'',69,70,3186,13.78326833
2008,Sam Perkins,81,240,29,Clippers,PF,2,2,6,53,60,87,33,70,2,96,100,58,57,0,77,17,63,50,25,67,42,24,51,100,67,0,80,85,79,28,57,76,6'9'',67,67,2688,13.6982823
2010,Daniel Taurasi,77,200,35,Pacers,SG,4,4,14,47,50,29,3,96,3,77,99,96,7,0,74,74,45,30,96,36,88,53,29,52,63,0,37,62,98,74,74,45,6'5'',68,65,3119,13.67
2010,Giannis Antetokounmpo,84,225,24,Hornets,SF,3,3,5,58,74,30,83,95,15,100,93,57,88,0,85,68,33,59,64,46,77,64,53,94,58,0,34,72,75,67,84,71,7'0'',68,72,3089,13.64
2011,Vince Carter,78,220,29,Hornets,SG,4,4,8,44,42,11,44,14,87,85,86,78,86,0,67,24,89,28,54,36,89,13,43,37,78,0,100,88,82,38,68,48,6'6'',71,71,3101,13.57323055
2008,Daniel Taurasi,77,200,33,Pacers,SG,4,4,12,40,36,29,3,96,3,79,100,98,7,0,77,71,44,33,99,37,87,52,25,50,66,0,39,64,99,71,75,43,6'5'',70,69,2982,13.56046514
2011,Miles Bridges,79,230,31,Timberwolves,SG,4,4,11,43,54,99,59,9,0,85,94,69,5,0,76,47,73,39,52,58,35,52,56,52,95,0,61,80,82,57,66,61,6'7'',67,67,3212,13.53016145
2012,Cameron Reddish,80,225,31,Mavericks,SF,3,3,12,36,27,16,76,15,88,58,100,74,31,0,97,43,62,29,63,59,56,45,11,79,81,0,68,66,87,53,75,55,6'8'',65,64,2841,13.50702791
2012,Simisola Shittu,82,240,30,Bulls,C,1,1,12,44,40,18,51,8,61,91,88,5,75,0,70,14,62,34,10,57,81,65,91,87,82,0,65,81,46,24,65,86,6'10'',65,64,2473,13.25420646
2011,Giannis Antetokounmpo,84,230,25,Hornets,SF,3,3,6,54,62,30,83,95,15,100,94,57,88,0,85,67,34,54,68,48,73,60,52,91,62,0,34,73,76,67,84,70,7'0'',68,72,2923,13.23969291
2010,Jay Williams,74,200,25,Bucks,PG,5,5,4,50,64,55,33,66,22,93,80,100,28,0,91,58,63,33,80,42,80,14,34,50,76,0,30,71,90,66,79,49,6'2'',70,75,3131,13.23
2009,Yao Ming,90,300,25,Hornets,C,1,1,3,45,48,25,59,74,98,99,82,5,41,0,75,22,50,83,37,8,7,82,68,61,96,0,16,74,44,30,77,68,7'6'',69,72,2950,13.22
2008,Miles Bridges,79,230,28,Raptors,SG,4,4,8,47,60,99,59,9,0,81,98,79,5,0,76,43,69,32,57,60,33,45,56,51,98,0,63,79,88,52,62,61,6'7'',67,67,3173,13.13889191
2011,Amare Stoudemire,83,270,25,Timberwolves,PF,2,2,5,51,36,25,90,83,45,100,96,49,27,0,54,10,88,83,23,25,24,40,55,100,77,0,38,77,72,26,62,80,6'11'',68,70,2858,13.12727123
2008,Champ Godbolt,87,280,25,Bucks,PF,2,2,6,48,45,51,82,72,66,99,89,60,32,0,57,45,79,68,36,75,68,50,80,61,67,0,40,75,74,54,82,69,7'3'',73,77,2771,13.10584182
2012,Miles Bridges,79,230,32,Bulls,SG,4,4,12,39,61,99,59,9,0,87,93,66,5,0,74,42,74,39,50,55,35,50,53,50,96,0,62,81,80,51,65,59,6'7'',66,67,3282,13.09679472
2008,Firsto Picko,82,245,31,Knicks,C,1,1,11,41,46,92,27,80,90,100,82,32,35,0,70,39,97,33,70,59,87,68,59,56,95,0,68,89,57,54,73,65,6'10'',67,67,2583,13.06499883
2012,Jay Williams,74,200,27,Bullets,PG,5,5,6,50,70,55,33,66,22,93,73,99,28,0,94,56,65,32,84,45,79,18,37,44,73,0,29,70,86,65,83,47,6'2'',69,70,3106,13.03956125
2009,Yante Maten*,80,240,32,Hawks,PF,2,2,10,40,53,98,78,30,62,100,96,46,11,0,71,34,23,62,43,97,73,75,96,79,93,0,34,79,71,34,83,84,6'8'',69,69,2546,12.98
2008,Gary Bossert,77,195,34,Jazz,SG,4,4,11,41,43,66,39,98,26,70,100,99,5,0,93,18,48,5,66,69,77,15,38,55,68,0,30,58,100,27,59,51,6'5'',63,60,2837,12.94205001
2008,Stephon Templeton,83,265,35,Suns,C,1,1,11,42,50,12,21,2,44,92,91,30,51,0,73,24,66,95,11,46,45,73,46,50,98,0,60,84,60,35,86,57,6'11'',69,66,2847,12.93849545
2012,De'Anthony Melton,76,190,31,Lakers,PG,5,5,9,44,50,17,44,10,69,73,92,43,60,0,81,93,84,35,97,76,100,28,25,49,54,0,67,67,68,100,100,43,6'4'',77,77,3160,12.85943452
2008,Hakeem Olajuwon,84,270,28,Suns,C,1,1,6,44,44,92,78,71,2,100,78,5,32,0,58,46,74,84,17,100,51,84,72,68,97,0,79,93,42,55,100,74,7'0'',77,77,3017,12.84
2010,Yante Maten*,80,240,33,Hawks,PF,2,2,11,36,30,98,78,30,62,99,91,45,11,0,70,32,21,61,40,96,72,70,97,81,89,0,33,77,68,32,79,85,6'8'',68,67,2375,12.77
2011,Cameron Reddish,80,225,30,Mavericks,SF,3,3,11,43,32,16,76,15,88,59,100,77,31,0,96,43,64,31,61,59,57,48,11,80,86,0,68,67,88,53,77,56,6'8'',66,65,2904,12.76932408
2008,Max Zaslofsky,75,180,31,Suns,PG,5,5,11,41,51,62,87,37,70,78,100,71,5,0,100,88,73,20,31,58,88,39,14,21,72,0,42,66,86,96,67,29,6'3'',71,71,2955,12.73313608
2008,Shamorie Ponds,73,175,29,Globetrotters,PG,5,5,9,43,42,64,73,90,41,64,82,73,17,0,95,87,81,31,69,31,97,28,49,46,58,0,81,68,78,96,82,51,6'1'',73,73,3181,12.73061663
2012,Victor Oladipo,76,210,28,Pistons,PG,5,5,7,47,59,65,35,78,56,78,89,88,57,0,78,61,67,5,95,86,52,6,34,47,55,0,47,64,88,67,70,45,6'4'',69,69,3119,12.73014196
2008,Amare Stoudemire,83,255,22,Timberwolves,PF,2,2,2,55,66,25,90,83,45,99,100,53,27,0,54,20,81,84,22,26,21,50,45,95,76,0,39,76,76,33,66,74,6'11'',67,71,2877,12.66343636
2010,Collin Sexton,75,220,29,Grizzlies,SG,4,4,10,44,35,23,43,59,6,100,98,57,65,0,91,38,69,24,76,65,83,22,43,42,55,0,61,79,78,49,82,46,6'3'',69,68,3192,12.66
2012,Vince Carter,78,220,30,Hornets,SG,4,4,9,40,26,11,44,14,87,86,84,77,86,0,64,25,84,26,56,33,85,13,39,33,73,0,96,86,80,38,67,44,6'6'',69,68,3148,12.64415627
2012,Rick Fox,80,245,25,Lakers,SF,3,3,4,47,54,37,26,20,73,87,96,64,74,0,81,25,44,70,54,40,100,50,35,38,66,0,73,79,80,31,82,41,6'8'',63,66,2849,12.55912367
2011,Simisola Shittu,82,240,29,Bulls,C,1,1,11,41,31,18,51,8,61,92,86,5,75,0,65,17,65,37,9,59,77,69,96,90,86,0,65,83,46,27,69,90,6'10'',67,66,2915,12.55789813
2012,Shamorie Ponds,73,175,33,Globetrotters,PG,5,5,13,31,16,64,73,90,41,64,84,69,17,0,97,78,73,24,68,22,89,24,36,40,56,0,82,68,76,87,72,43,6'1'',68,65,2932,12.55047042
2009,Brain Winter,71,190,34,Rockets,PG,5,5,12,44,50,19,61,8,67,68,98,100,30,0,100,74,79,22,67,49,95,8,34,47,34,0,31,50,99,85,76,42,5'11'',75,71,2786,12.52
2009,Champ Godbolt,87,280,26,Bucks,PF,2,2,7,49,39,51,82,72,66,100,91,61,32,0,54,43,82,69,32,78,68,51,82,61,70,0,38,75,76,53,83,71,7'3'',74,73,2786,12.5
2011,Daniel Taurasi,77,200,36,Pacers,SG,4,4,15,48,41,29,3,96,3,73,97,94,7,0,74,76,45,33,91,35,85,49,31,51,62,0,33,59,96,76,74,45,6'5'',67,64,2953,12.47411378
2012,Zion Williamson,79,290,30,Heat,PF,2,2,12,42,44,66,84,25,86,96,85,28,66,0,22,35,74,64,18,33,31,74,95,80,77,0,68,84,56,39,70,84,6'7'',68,68,2910,12.45004863
2011,AJ Guyton,73,180,29,Trailblazers,PG,5,5,7,49,62,59,87,55,90,89,97,52,86,0,96,78,62,16,87,15,62,8,34,40,57,0,52,72,74,85,59,42,6'1'',67,68,3141,12.41038037
2009,Collin Sexton,75,220,28,Raptors,SG,4,4,9,44,38,23,43,59,6,100,100,55,65,0,88,40,69,26,72,67,83,18,45,46,55,0,61,79,78,51,81,48,6'3'',68,67,2952,12.4
2011,RJ Cole,74,185,30,Knicks,PG,5,5,11,39,44,41,76,89,34,87,99,81,86,0,87,73,40,21,37,95,38,17,45,45,53,0,90,81,90,74,43,46,6'2'',67,67,3027,12.21101908
2012,Sam Perkins,81,240,33,Bullets,PF,2,2,10,27,40,87,33,70,2,87,100,60,57,0,75,10,53,43,18,66,35,22,64,96,61,0,78,79,80,20,48,77,6'9'',61,60,2195,12.19954707
2010,Victor Oladipo,76,210,26,Pacers,PG,5,5,5,47,53,65,35,78,56,79,93,88,57,0,78,64,64,8,94,81,54,9,37,50,58,0,45,65,90,69,72,47,6'4'',69,69,3192,12.16
2009,Firsto Picko,82,245,32,Knicks,C,1,1,12,42,36,92,27,80,90,99,78,31,35,0,73,40,91,33,67,60,86,65,63,56,93,0,64,87,54,53,72,66,6'10'',66,65,2898,12.11
2010,Earl Monroe,75,185,24,Hawks,PG,5,5,1,76,82,82,48,100,72,71,95,66,34,0,100,91,72,26,60,65,29,11,44,31,35,0,45,56,80,99,58,38,6'3'',68,75,3024,12.04
2010,Guy Beahm,80,235,30,Magic,SF,3,3,9,45,57,0,0,0,0,86,91,72,5,0,86,25,36,48,71,76,53,74,59,88,78,0,17,64,82,29,84,74,6'8'',66,66,3144,11.97
2009,Giannis Antetokounmpo,84,220,23,Hornets,SF,3,3,4,64,60,30,83,95,15,100,92,54,88,0,88,68,35,58,61,44,72,61,48,89,59,0,33,72,73,69,81,67,7'0'',66,69,3005,11.96
2012,Champ Godbolt,87,280,29,Magic,PF,2,2,10,44,62,51,82,72,66,94,86,59,32,0,60,46,79,70,27,73,67,47,78,52,67,0,42,73,72,56,78,65,7'3'',71,72,2651,11.89302425
2009,Hakeem Olajuwon,84,270,29,Suns,C,1,1,7,39,41,92,78,71,2,96,79,5,32,0,59,44,72,80,15,97,50,82,68,67,100,0,78,91,42,53,98,73,7'0'',76,76,2742,11.85
2010,Yao Ming,90,300,26,Hornets,C,1,1,4,41,40,25,59,74,98,100,85,5,41,0,75,20,51,81,36,13,11,77,65,61,93,0,17,74,45,28,76,67,7'6'',69,68,2225,11.78851633
2008,Trendon Watford,82,220,25,Cavaliers,SF,3,3,8,45,50,23,11,34,72,94,100,39,29,0,85,26,56,38,28,28,65,23,47,81,100,0,18,72,70,35,54,71,6'10'',61,64,2817,11.78222025
2012,Jake Tsakalidis,86,285,29,Lakers,C,1,1,8,46,53,22,55,43,56,100,75,5,37,0,52,23,87,80,64,45,20,63,79,69,56,0,54,77,40,37,74,71,7'2'',66,66,2673,11.75005805
2009,Miles Bridges,79,230,29,Timberwolves,SG,4,4,9,49,54,99,59,9,0,80,94,74,5,0,80,44,72,36,52,56,30,49,53,53,100,0,62,79,84,54,62,61,6'7'',66,66,3019,11.75
2010,Hakeem Olajuwon,84,270,30,Hawks,C,1,1,8,34,23,92,78,71,2,97,78,5,32,0,58,43,73,81,13,95,47,78,68,68,97,0,77,91,42,52,96,73,7'0'',75,73,2781,11.73602996
2009,Shamorie Ponds,73,175,30,Globetrotters,PG,5,5,10,47,41,64,73,90,41,63,84,72,17,0,95,87,79,30,70,30,93,29,50,42,57,0,83,68,78,96,81,49,6'1'',72,72,2982,11.72
2010,DeAndre Ayton,85,275,30,Clippers,C,1,1,10,42,42,43,30,45,43,94,79,36,45,0,49,28,74,100,26,45,64,74,81,96,80,0,53,79,58,38,89,87,7'1'',73,73,2804,11.71520988
2008,Dolph Schayes,81,220,33,Globetrotters,PF,2,2,11,51,54,15,1,10,24,91,93,56,60,0,62,74,32,62,49,76,46,64,89,80,87,0,65,82,74,68,81,82,6'9'',67,67,2567,11.6882955
2008,Simisola Shittu,82,240,26,Bullets,C,1,1,8,47,62,18,51,8,61,96,59,5,75,0,75,21,63,41,11,62,86,72,91,87,83,0,67,85,32,31,73,87,6'10'',66,67,3039,11.68
2008,Victor Oladipo,76,210,24,Pacers,PG,5,5,3,49,70,65,35,78,56,78,89,95,57,0,74,70,68,12,96,84,60,5,33,50,55,0,42,63,92,75,76,46,6'4'',71,77,3015,11.65786968
2012,Marcus Taylor,75,200,26,Mavericks,PG,5,5,6,46,46,32,76,80,43,80,86,39,83,0,98,68,53,23,92,13,66,35,12,40,88,0,55,74,62,73,64,38,6'3'',64,64,2867,11.59154198
2012,DerMarr Johnson,81,205,28,Oaks,SG,4,4,8,50,54,85,49,27,80,71,100,99,56,0,77,47,65,5,94,58,95,48,50,31,41,0,72,65,100,55,75,41,6'9'',69,69,3114,11.57991168
2012,Earl Monroe,75,185,26,Pelicans,PG,5,5,3,62,74,82,48,100,72,79,100,62,34,0,96,92,72,28,54,76,33,19,39,33,37,0,41,59,81,100,62,38,6'3'',69,70,2882,11.57050566
2012,Livio Jean-Charles,81,230,26,Trailblazers,PF,2,2,8,46,42,87,54,21,46,100,82,5,75,0,65,11,73,50,28,46,49,30,77,70,83,0,69,87,44,24,57,75,6'9'',63,63,2487,11.55449351
2010,Qyntel Woods,81,245,24,Suns,SF,3,3,4,47,52,45,28,20,92,100,96,31,35,0,94,34,78,35,74,33,64,60,37,75,65,0,57,80,64,48,77,60,6'9'',68,71,3076,11.48
2012,Larry Johnson,79,280,26,Pelicans,SF,3,3,4,54,44,81,6,4,66,75,98,49,46,0,68,34,48,41,38,56,85,28,83,61,96,0,61,75,74,38,68,73,6'7'',62,62,2804,11.45041003
2010,Rick Fox,80,240,23,Hawks,SF,3,3,2,65,76,37,26,20,73,85,92,65,74,0,78,28,44,63,51,42,100,47,42,40,66,0,69,76,78,34,81,45,6'8'',62,66,2992,11.43
2011,Guy Beahm,80,235,31,Magic,SF,3,3,10,44,58,0,0,0,0,82,94,69,5,0,90,23,35,50,72,72,56,77,61,91,77,0,16,61,82,29,86,76,6'8'',66,66,2972,11.39331776
2009,Daniel Taurasi,77,200,34,Pacers,SG,4,4,13,45,50,29,3,96,3,79,100,98,7,0,77,71,44,33,99,37,87,52,25,50,66,0,39,64,99,71,75,43,6'5'',70,66,2698,11.38
2012,Skylar Diggins,69,145,28,Oaks,PG,5,5,6,44,56,65,0,16,68,86,100,70,5,0,80,95,48,20,75,59,94,9,18,34,57,0,32,64,85,94,73,33,5'9'',72,72,2908,11.36921436
2011,Courtney Alexander,77,205,30,Raptors,PG,5,5,7,55,54,62,74,92,96,90,100,35,63,0,91,100,59,33,81,80,67,7,25,26,43,0,63,72,68,100,82,30,6'5'',72,72,3202,11.35167503
2010,RJ Cole,74,185,29,Knicks,PG,5,5,10,42,37,41,76,89,34,88,99,81,86,0,87,73,41,24,41,99,38,20,46,43,52,0,89,81,90,74,47,45,6'2'',68,67,3161,11.35
2011,Marcus Taylor,75,200,25,Mavericks,PG,5,5,5,43,49,32,76,80,43,83,87,43,83,0,100,66,55,24,92,8,66,32,8,42,90,0,54,76,65,72,64,38,6'3'',65,68,2862,11.34268164
2011,Jay Williams,74,200,26,Bucks,PG,5,5,5,55,64,55,33,66,22,92,76,99,28,0,92,60,65,35,80,42,83,15,32,47,73,0,30,70,88,68,82,47,6'2'',70,71,2878,11.30024134
2012,Steve Stipanovich,85,245,28,Heat,C,1,1,5,46,55,48,69,61,65,100,84,5,72,0,35,18,45,81,27,65,16,15,86,61,86,0,53,83,44,22,68,73,7'1'',63,63,2557,11.26280751
2008,Qyntel Woods,81,240,22,Suns,SF,3,3,2,57,62,45,28,20,92,100,98,38,35,0,88,33,74,34,72,31,64,56,39,71,65,0,57,80,68,45,75,59,6'9'',68,72,2959,11.26115274
2010,Champ Godbolt,87,280,27,Bucks,PF,2,2,8,45,45,51,82,72,66,100,90,59,32,0,55,46,79,68,35,75,65,55,78,58,68,0,39,75,74,55,83,68,7'3'',74,74,2639,11.25
2012,Bison Dele,82,245,25,Pelicans,PF,2,2,4,56,70,46,1,9,2,100,75,21,11,0,36,16,81,76,24,74,15,38,60,59,87,0,46,81,48,28,74,65,6'10'',64,68,2825,11.24801959
2011,Al Harrington,83,250,26,Mavericks,PF,2,2,8,50,56,72,46,41,79,100,91,29,42,0,71,26,50,60,27,73,65,37,71,62,61,0,58,80,60,33,68,64,6'11'',64,64,2708,11.24251365
2010,Firsto Picko,82,245,33,Knicks,C,1,1,13,43,48,92,27,80,90,97,81,32,35,0,70,44,90,31,66,60,85,64,66,58,87,0,62,85,56,56,71,67,6'10'',65,65,2457,11.24
2009,Qyntel Woods,81,245,23,Suns,SF,3,3,3,52,52,45,28,20,92,100,94,35,35,0,89,31,77,32,74,35,61,60,35,70,67,0,59,81,64,44,76,58,6'9'',68,71,3189,11.23
2012,Zan Tabak,84,245,25,Pistons,C,1,1,4,50,44,72,87,54,3,95,69,5,84,0,70,39,61,66,25,47,74,58,58,81,79,0,53,79,37,46,75,72,7'0'',64,67,2604,11.21681693
2010,Simisola Shittu,82,240,28,Bulls,C,1,1,10,44,40,18,51,8,61,92,83,5,75,0,70,18,62,37,7,56,77,73,96,86,82,0,65,82,44,29,69,88,6'10'',66,65,2949,11.17756334
2011,Livio Jean-Charles,81,230,25,Trailblazers,PF,2,2,7,52,56,87,54,21,46,97,78,5,75,0,67,6,70,50,33,49,50,27,77,67,86,0,69,86,42,19,58,73,6'9'',63,66,2621,11.13510146
2010,Skylar Diggins,69,145,26,Jazz,PG,5,5,4,51,58,65,0,16,68,75,95,61,5,0,80,94,48,17,79,55,100,6,17,33,53,0,33,58,78,93,71,31,5'9'',69,69,3166,11.11
2011,Isaac Bonga,81,210,31,Bucks,SF,3,3,12,44,38,86,15,69,34,100,99,79,86,0,81,98,39,49,66,57,81,50,62,63,53,0,27,69,89,95,81,60,6'9'',68,67,3138,11.0891503
2010,Dolph Schayes,81,220,35,Globetrotters,PF,2,2,13,42,48,15,1,10,24,92,86,54,60,0,65,73,31,61,48,78,43,63,89,83,89,0,58,81,70,68,79,83,6'9'',66,63,2702,11.06
2009,Guy Beahm,80,235,29,Magic,SF,3,3,8,50,66,0,0,0,0,89,88,68,5,0,84,25,37,50,66,78,52,76,62,89,77,0,17,65,78,30,84,75,6'8'',66,67,2823,10.97
2010,Guy Beahm,80,235,30,Magic,SF,3,3,9,45,57,0,0,0,0,86,91,72,5,0,86,25,36,48,71,76,53,74,59,88,78,0,17,64,82,29,84,74,6'8'',66,66,2823,10.97
2012,Kareem Abdul-Jabbar,86,245,25,Lakers,C,1,1,3,49,52,57,19,60,36,98,83,5,31,0,72,38,91,90,14,42,27,77,70,73,100,0,72,91,44,52,84,77,7'2'',74,78,1525,10.91064687
2009,Al Harrington,83,250,24,Mavericks,PF,2,2,6,50,74,72,46,41,79,94,91,31,42,0,71,30,50,63,34,74,68,36,64,55,62,0,54,76,61,36,71,59,6'11'',63,67,2720,10.9
2011,Earl Monroe,75,185,25,Hawks,PG,5,5,2,69,66,82,48,100,72,73,96,65,34,0,100,89,75,28,56,71,27,15,41,37,36,0,43,57,80,98,60,40,6'3'',69,73,3143,10.86102637
2008,Cameron Reddish,80,225,27,Mavericks,SF,3,3,8,43,42,16,76,15,88,59,100,75,31,0,98,38,62,28,60,54,58,54,8,76,89,0,73,69,88,48,75,53,6'8'',65,65,2901,10.83125425
2008,Collin Sexton,75,220,27,Timberwolves,SG,4,4,8,44,33,23,43,59,6,96,95,48,65,0,82,44,71,31,70,63,82,12,50,44,58,0,63,78,72,54,81,50,6'3'',67,66,3192,10.81328201
2011,Qyntel Woods,81,245,25,Suns,SF,3,3,5,52,48,45,28,20,92,100,94,31,35,0,95,37,75,37,78,37,63,65,33,76,65,0,56,80,62,49,81,59,6'9'',69,72,3106,10.79485673
2010,Andre Turner,71,160,31,Nuggets,PG,5,5,9,39,48,74,49,47,99,81,93,96,22,0,92,79,68,32,81,68,61,15,18,21,35,0,28,56,94,86,81,24,5'11'',72,72,2858,10.79
2008,Giannis Antetokounmpo,84,220,22,Hornets,SF,3,3,3,73,72,30,83,95,15,100,93,54,88,0,82,63,36,56,64,43,64,60,49,89,61,0,32,72,74,64,79,68,7'0'',66,70,3022,10.73454521
2010,Vince Carter,78,220,28,Hornets,SG,4,4,7,49,36,11,44,14,87,82,88,76,86,0,64,28,84,32,45,34,86,11,44,32,75,0,98,85,82,41,66,45,6'6'',69,68,3131,10.69
2010,Cameron Reddish,80,225,29,Mavericks,SF,3,3,10,42,42,16,76,15,88,55,100,79,31,0,100,40,63,30,62,54,53,53,8,81,84,0,73,66,90,51,75,55,6'8'',66,66,2869,10.68
2010,Mark Price,72,180,31,SuperSonics,PG,5,5,9,34,48,18,55,37,8,62,99,72,5,0,100,49,89,6,73,71,73,25,15,5,62,0,29,52,86,64,83,21,6'0'',70,70,3107,10.68
2011,Champ Godbolt,87,280,28,Bucks,PF,2,2,9,44,52,51,82,72,66,98,86,60,32,0,55,50,82,69,31,76,67,50,76,55,69,0,41,75,73,59,82,66,7'3'',73,73,2864,10.66570501
2010,Trendon Watford,82,220,27,Cavaliers,SF,3,3,10,44,41,23,11,34,72,100,100,38,29,0,86,24,58,36,26,21,66,22,46,82,94,0,20,75,69,34,51,70,6'10'',61,61,2363,10.65
2011,Larry Johnson,79,280,25,Hawks,SF,3,3,3,58,56,81,6,4,66,74,97,45,46,0,63,35,48,42,36,50,84,28,80,65,95,0,60,74,71,39,66,74,6'7'',61,64,3121,10.58207306
2010,Miles Bridges,79,230,30,Timberwolves,SG,4,4,10,49,44,99,59,9,0,83,96,72,5,0,76,46,68,35,56,53,31,49,54,52,100,0,59,79,84,55,61,61,6'7'',66,66,3113,10.58
2009,RJ Cole,74,185,28,Trailblazers,PG,5,5,9,40,47,41,76,89,34,84,100,82,86,0,84,70,39,25,43,98,41,24,50,43,54,0,93,81,91,70,50,47,6'2'',68,68,3073,10.51
2011,Hakeem Olajuwon,84,270,31,Hawks,C,1,1,9,33,29,92,78,71,2,92,79,5,32,0,54,43,72,77,15,97,48,73,68,69,97,0,73,87,42,51,93,73,7'0'',74,73,3036,10.37289001
2009,Max Zaslofsky,75,180,32,Suns,PG,5,5,12,40,32,62,87,37,70,75,97,72,5,0,97,87,73,16,29,54,88,38,14,17,72,0,39,64,84,96,63,27,6'3'',69,68,2979,10.32
2009,Simisola Shittu,82,240,27,Bulls,C,1,1,9,51,50,18,51,8,61,91,80,5,75,0,75,17,60,37,8,57,81,74,92,87,81,0,67,82,42,27,69,86,6'10'',65,65,2486,10.31
2011,Skylar Diggins,69,145,27,Jazz,PG,5,5,5,45,64,65,0,16,68,81,100,72,5,0,82,100,50,16,78,54,97,5,18,34,54,0,32,61,86,99,71,32,5'9'',72,73,2954,10.30430314
2010,Larry Johnson*,79,280,24,Hawks,SF,3,3,2,64,72,81,6,4,66,76,94,47,46,0,67,36,49,40,32,52,84,28,78,69,93,0,61,75,70,40,65,75,6'7'',61,65,2889,10.3
