Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares,WS48
2011,Luke Maye,79,227,33,Clippers,SF,3,3,11,42,36,90,74,5,52,92,98,88,87,0,92,74,41,65,61,53,26,45,25,62,74,0,22,67,93,76,72,50,6'7'',66,65,2962,14.92623317,0.24188359
2009,Sam Perkins,81,240,30,Clippers,PF,2,2,7,46,56,87,33,70,2,91,99,58,57,0,77,22,59,53,24,68,45,25,56,100,68,0,82,84,78,32,59,78,6'9'',67,67,2868,14.12,0.236317992
2008,Yao Ming,90,300,24,Hornets,C,1,1,2,46,52,25,59,74,98,100,85,5,41,0,75,17,50,87,40,6,5,87,64,61,100,0,15,75,45,25,78,67,7'6'',70,74,2942,14.47,0.236084296
2009,Jay Williams,74,200,24,Bucks,PG,5,5,3,48,58,55,33,66,22,90,81,100,28,0,95,62,62,31,76,45,80,17,30,50,77,0,31,70,90,70,78,48,6'2'',71,75,3187,15.14,0.228026357
2012,Livio Jean-Charles,81,230,26,Trailblazers,PF,2,2,8,46,42,87,54,21,46,100,82,5,75,0,65,11,73,50,28,46,49,30,77,70,83,0,69,87,44,24,57,75,6'9'',63,63,2487,11.55449351,0.223005906
2010,Firsto Picko,82,245,33,Knicks,C,1,1,13,43,48,92,27,80,90,97,81,32,35,0,70,44,90,31,66,60,85,64,66,58,87,0,62,85,56,56,71,67,6'10'',65,65,2457,11.24,0.21958486
2008,Guy Beahm,80,235,28,Magic,SF,3,3,7,47,54,0,0,0,0,92,84,66,5,0,81,26,37,48,65,77,51,72,66,90,75,0,18,66,75,31,83,77,6'8'',65,65,1623,7.41,0.219149723
2008,Gary Bossert,77,195,34,Jazz,SG,4,4,11,41,43,66,39,98,26,70,100,99,5,0,93,18,48,5,66,69,77,15,38,55,68,0,30,58,100,27,59,51,6'5'',63,60,2837,12.94205001,0.21897018
2008,Dolph Schayes,81,220,33,Globetrotters,PF,2,2,11,51,54,15,1,10,24,91,93,56,60,0,62,74,32,62,49,76,46,64,89,80,87,0,65,82,74,68,81,82,6'9'',67,67,2567,11.6882955,0.218557921
2008,Daniel Taurasi,77,200,33,Pacers,SG,4,4,12,40,36,29,3,96,3,79,100,98,7,0,77,71,44,33,99,37,87,52,25,50,66,0,39,64,99,71,75,43,6'5'',70,69,2982,13.56046514,0.218277105
2008,Stephon Templeton,83,265,35,Suns,C,1,1,11,42,50,12,21,2,44,92,91,30,51,0,73,24,66,95,11,46,45,73,46,50,98,0,60,84,60,35,86,57,6'11'',69,66,2847,12.93849545,0.218141125
2011,Giannis Antetokounmpo,84,230,25,Hornets,SF,3,3,6,54,62,30,83,95,15,100,94,57,88,0,85,67,34,54,68,48,73,60,52,91,62,0,34,73,76,67,84,70,7'0'',68,72,2923,13.23969291,0.217415416
2011,Yao Ming,90,300,27,Hornets,C,1,1,5,39,34,25,59,74,98,96,85,5,41,0,73,15,52,78,34,10,6,77,63,60,96,0,17,72,45,24,73,66,7'6'',68,67,3086,13.94965858,0.216974599
2010,Trendon Watford,82,220,27,Cavaliers,SF,3,3,10,44,41,23,11,34,72,100,100,38,29,0,86,24,58,36,26,21,66,22,46,82,94,0,20,75,69,34,51,70,6'10'',61,61,2363,10.65,0.216335167
2010,Sam Perkins,81,240,31,Clippers,PF,2,2,8,42,64,87,33,70,2,92,95,59,57,0,77,17,56,49,21,64,40,24,62,95,70,0,82,85,77,27,55,78,6'9'',65,66,1584,7.13,0.216060606
2009,Yao Ming,90,300,25,Hornets,C,1,1,3,45,48,25,59,74,98,99,82,5,41,0,75,22,50,83,37,8,7,82,68,61,96,0,16,74,44,30,77,68,7'6'',69,72,2950,13.22,0.215105085
2012,LiAngelo Ball,78,230,33,Mavericks,SG,4,4,12,38,40,12,31,35,9,84,91,67,33,0,89,38,81,15,58,11,93,8,53,48,48,0,23,59,79,52,55,51,6'6'',64,63,2104,9.294883565,0.212050576
2010,Giannis Antetokounmpo,84,225,24,Hornets,SF,3,3,5,58,74,30,83,95,15,100,93,57,88,0,85,68,33,59,64,46,77,64,53,94,58,0,34,72,75,67,84,71,7'0'',68,72,3089,13.64,0.211952088
2012,Rick Fox,80,245,25,Lakers,SF,3,3,4,47,54,37,26,20,73,87,96,64,74,0,81,25,44,70,54,40,100,50,35,38,66,0,73,79,80,31,82,41,6'8'',63,66,2849,12.55912367,0.211596327
2012,Steve Stipanovich,85,245,28,Heat,C,1,1,5,46,55,48,69,61,65,100,84,5,72,0,35,18,45,81,27,65,16,15,86,61,86,0,53,83,44,22,68,73,7'1'',63,63,2557,11.26280751,0.211425405
2010,Shamorie Ponds,73,175,31,Globetrotters,PG,5,5,11,42,39,64,73,90,41,64,82,71,17,0,98,85,76,26,73,25,92,32,46,41,56,0,85,69,76,94,79,47,6'1'',71,70,1121,4.93,0.211097235
2009,Gary Bossert,77,195,35,Jazz,SG,4,4,12,40,46,66,39,98,26,72,100,99,5,0,92,20,48,6,63,70,75,12,35,51,64,0,28,57,100,29,58,47,6'5'',63,60,1606,7.06,0.211008717
2012,Jake Tsakalidis,86,285,29,Lakers,C,1,1,8,46,53,22,55,43,56,100,75,5,37,0,52,23,87,80,64,45,20,63,79,69,56,0,54,77,40,37,74,71,7'2'',66,66,2673,11.75005805,0.21099992
2010,Daniel Taurasi,77,200,35,Pacers,SG,4,4,14,47,50,29,3,96,3,77,99,96,7,0,74,74,45,30,96,36,88,53,29,52,63,0,37,62,98,74,74,45,6'5'',68,65,3119,13.67,0.21037512
2011,Vince Carter,78,220,29,Hornets,SG,4,4,8,44,42,11,44,14,87,85,86,78,86,0,67,24,89,28,54,36,89,13,43,37,78,0,100,88,82,38,68,48,6'6'',71,71,3101,13.57323055,0.210098377
2009,Hakeem Olajuwon,84,270,29,Suns,C,1,1,7,39,41,92,78,71,2,96,79,5,32,0,59,44,72,80,15,97,50,82,68,67,100,0,78,91,42,53,98,73,7'0'',76,76,2742,11.85,0.207439825
2008,Max Zaslofsky,75,180,31,Suns,PG,5,5,11,41,51,62,87,37,70,78,100,71,5,0,100,88,73,20,31,58,88,39,14,21,72,0,42,66,86,96,67,29,6'3'',71,71,2955,12.73313608,0.206832667
2011,Simisola Shittu,82,240,29,Bulls,C,1,1,11,41,31,18,51,8,61,92,86,5,75,0,65,17,65,37,9,59,77,69,96,90,86,0,65,83,46,27,69,90,6'10'',67,66,2915,12.55789813,0.206785287
2012,Zan Tabak,84,245,25,Pistons,C,1,1,4,50,44,72,87,54,3,95,69,5,84,0,70,39,61,66,25,47,74,58,58,81,79,0,53,79,37,46,75,72,7'0'',64,67,2604,11.21681693,0.206761602
2012,Shamorie Ponds,73,175,33,Globetrotters,PG,5,5,13,31,16,64,73,90,41,64,84,69,17,0,97,78,73,24,68,22,89,24,36,40,56,0,82,68,76,87,72,43,6'1'',68,65,2932,12.55047042,0.205464727
2012,Zion Williamson,79,290,30,Heat,PF,2,2,12,42,44,66,84,25,86,96,85,28,66,0,22,35,74,64,18,33,31,74,95,80,77,0,68,84,56,39,70,84,6'7'',68,68,2910,12.45004863,0.205361627
2008,Hakeem Olajuwon,84,270,28,Suns,C,1,1,6,44,44,92,78,71,2,100,78,5,32,0,58,46,74,84,17,100,51,84,72,68,97,0,79,93,42,55,100,74,7'0'',77,77,3017,12.84,0.2042824
2011,Livio Jean-Charles,81,230,25,Trailblazers,PF,2,2,7,52,56,87,54,21,46,97,78,5,75,0,67,6,70,50,33,49,50,27,77,67,86,0,69,86,42,19,58,73,6'9'',63,66,2621,11.13510146,0.203924025
2010,Jay Williams,74,200,25,Bucks,PG,5,5,4,50,64,55,33,66,22,93,80,100,28,0,91,58,63,33,80,42,80,14,34,50,76,0,30,71,90,66,79,49,6'2'',70,75,3131,13.23,0.202823379
2011,Daniel Taurasi,77,200,36,Pacers,SG,4,4,15,48,41,29,3,96,3,73,97,94,7,0,74,76,45,33,91,35,85,49,31,51,62,0,33,59,96,76,74,45,6'5'',67,64,2953,12.47411378,0.202762432
2010,Hakeem Olajuwon,84,270,30,Hawks,C,1,1,8,34,23,92,78,71,2,97,78,5,32,0,58,43,73,81,13,95,47,78,68,68,97,0,77,91,42,52,96,73,7'0'',75,73,2781,11.73602996,0.202563624
2009,Daniel Taurasi,77,200,34,Pacers,SG,4,4,13,45,50,29,3,96,3,79,100,98,7,0,77,71,44,33,99,37,87,52,25,50,66,0,39,64,99,71,75,43,6'5'',70,66,2698,11.38,0.202461082
2011,Miles Bridges,79,230,31,Timberwolves,SG,4,4,11,43,54,99,59,9,0,85,94,69,5,0,76,47,73,39,52,58,35,52,56,52,95,0,61,80,82,57,66,61,6'7'',67,67,3212,13.53016145,0.202194194
2012,Shareef O'Neal,80,210,30,Hornets,PF,2,2,12,46,36,44,58,23,3,92,70,5,77,0,53,15,30,94,33,83,33,71,58,86,78,0,35,72,38,19,85,72,6'8'',60,59,2025,8.529816652,0.202188247
2012,Jay Williams,74,200,27,Bullets,PG,5,5,6,50,70,55,33,66,22,93,73,99,28,0,94,56,65,32,84,45,79,18,37,44,73,0,29,70,86,65,83,47,6'2'',69,70,3106,13.03956125,0.201512859
2010,Shareef O'Neal,80,210,28,Hornets,PF,2,2,10,44,51,44,58,23,3,100,71,5,77,0,59,16,32,91,37,79,33,69,60,78,82,0,35,77,38,20,86,70,6'8'',60,60,2359,9.9,0.201441289
2008,Trendon Watford,82,220,25,Cavaliers,SF,3,3,8,45,50,23,11,34,72,94,100,39,29,0,85,26,56,38,28,28,65,23,47,81,100,0,18,72,70,35,54,71,6'10'',61,64,2817,11.78222025,0.200762006
2009,Firsto Picko,82,245,32,Knicks,C,1,1,12,42,36,92,27,80,90,99,78,31,35,0,73,40,91,33,67,60,86,65,63,56,93,0,64,87,54,53,72,66,6'10'',66,65,2898,12.11,0.20057971
2010,DeAndre Ayton,85,275,30,Clippers,C,1,1,10,42,42,43,30,45,43,94,79,36,45,0,49,28,74,100,26,45,64,74,81,96,80,0,53,79,58,38,89,87,7'1'',73,73,2804,11.71520988,0.200545676
2009,Simisola Shittu,82,240,27,Bulls,C,1,1,9,51,50,18,51,8,61,91,80,5,75,0,75,17,60,37,8,57,81,74,92,87,81,0,67,82,42,27,69,86,6'10'',65,65,2486,10.31,0.199066774
2008,Donnell Harvey,80,220,24,Bucks,PF,2,2,4,57,65,72,83,67,7,97,90,7,62,0,80,51,50,95,63,46,51,56,90,88,57,0,22,67,48,55,80,82,6'8'',65,69,2292,9.5,0.19895288
2008,Miles Bridges,79,230,28,Raptors,SG,4,4,8,47,60,99,59,9,0,81,98,79,5,0,76,43,69,32,57,60,33,45,56,51,98,0,63,79,88,52,62,61,6'7'',67,67,3173,13.13889191,0.19876042
2010,Dolph Schayes,81,220,35,Globetrotters,PF,2,2,13,42,48,15,1,10,24,92,86,54,60,0,65,73,31,61,48,78,43,63,89,83,89,0,58,81,70,68,79,83,6'9'',66,63,2702,11.06,0.196476684
2012,Larry Johnson,79,280,26,Pelicans,SF,3,3,4,54,44,81,6,4,66,75,98,49,46,0,68,34,48,41,38,56,85,28,83,61,96,0,61,75,74,38,68,73,6'7'',62,62,2804,11.45041003,0.196012725
2012,Victor Oladipo,76,210,28,Pistons,PG,5,5,7,47,59,65,35,78,56,78,89,88,57,0,78,61,67,5,95,86,52,6,34,47,55,0,47,64,88,67,70,45,6'4'',69,69,3119,12.73014196,0.19591113
2009,Trendon Watford,82,220,26,Cavaliers,SF,3,3,9,48,50,23,11,34,72,98,100,36,29,0,88,28,57,39,29,26,63,18,50,81,98,0,19,74,68,37,52,71,6'10'',61,61,2484,10.12,0.195555556
2012,De'Anthony Melton,76,190,31,Lakers,PG,5,5,9,44,50,17,44,10,69,73,92,43,60,0,81,93,84,35,97,76,100,28,25,49,54,0,67,67,68,100,100,43,6'4'',77,77,3160,12.85943452,0.195333183
2008,Neon Boudeaux,83,270,37,SuperSonics,C,1,1,15,37,41,37,7,69,68,93,86,5,26,0,69,10,31,88,5,37,17,65,72,45,92,0,89,92,46,15,71,61,6'11'',61,52,1681,6.8,0.194170137
2012,Marcus Taylor,75,200,26,Mavericks,PG,5,5,6,46,46,32,76,80,43,80,86,39,83,0,98,68,53,23,92,13,66,35,12,40,88,0,55,74,62,73,64,38,6'3'',64,64,2867,11.59154198,0.194068369
2011,RJ Cole,74,185,30,Knicks,PG,5,5,11,39,44,41,76,89,34,87,99,81,86,0,87,73,40,21,37,95,38,17,45,45,53,0,90,81,90,74,43,46,6'2'',67,67,3027,12.21101908,0.193633603
2012,Vince Carter,78,220,30,Hornets,SG,4,4,9,40,26,11,44,14,87,86,84,77,86,0,64,25,84,26,56,33,85,13,39,33,73,0,96,86,80,38,67,44,6'6'',69,68,3148,12.64415627,0.192795267
2012,Earl Monroe,75,185,26,Pelicans,PG,5,5,3,62,74,82,48,100,72,79,100,62,34,0,96,92,72,28,54,76,33,19,39,33,37,0,41,59,81,100,62,38,6'3'',69,70,2882,11.57050566,0.192707936
2008,Shamorie Ponds,73,175,29,Globetrotters,PG,5,5,9,43,42,64,73,90,41,64,82,73,17,0,95,87,81,31,69,31,97,28,49,46,58,0,81,68,78,96,82,51,6'1'',73,73,3181,12.73061663,0.192099842
2010,Stephon Templeton,83,265,37,Raptors,C,1,1,13,44,58,12,21,2,44,89,91,28,51,0,72,30,65,98,14,45,39,75,46,52,96,0,58,81,60,40,86,57,6'11'',69,59,2496,9.969085796,0.191713188
2012,Miles Bridges,79,230,32,Bulls,SG,4,4,12,39,61,99,59,9,0,87,93,66,5,0,74,42,74,39,50,55,35,50,53,50,96,0,62,81,80,51,65,59,6'7'',66,67,3282,13.09679472,0.191543616
2010,Earl Monroe,75,185,24,Hawks,PG,5,5,1,76,82,82,48,100,72,71,95,66,34,0,100,91,72,26,60,65,29,11,44,31,35,0,45,56,80,99,58,38,6'3'',68,75,3024,12.04,0.191111111
2009,Giannis Antetokounmpo,84,220,23,Hornets,SF,3,3,4,64,60,30,83,95,15,100,92,54,88,0,88,68,35,58,61,44,72,61,48,89,59,0,33,72,73,69,81,67,7'0'',66,69,3005,11.96,0.191041597
2011,Trendon Watford,82,220,28,Cavaliers,SF,3,3,11,45,42,23,11,34,72,96,96,35,29,0,85,20,58,40,22,20,71,26,49,81,98,0,19,73,66,30,53,71,6'10'',60,60,2582,10.26420608,0.190814056
2011,Marcus Taylor,75,200,25,Mavericks,PG,5,5,5,43,49,32,76,80,43,83,87,43,83,0,100,66,55,24,92,8,66,32,8,42,90,0,54,76,65,72,64,38,6'3'',65,68,2862,11.34268164,0.190233654
2012,Peyton Gragg,79,220,34,Bullets,PF,2,2,14,36,35,59,36,22,85,93,100,60,82,0,65,41,43,45,49,45,33,58,28,96,63,0,47,73,80,43,61,65,6'7'',55,51,2338,9.259910099,0.19010936
2009,Donnell Harvey,80,220,25,Bucks,PF,2,2,5,50,56,72,83,67,7,99,92,7,62,0,80,56,52,99,62,43,47,54,85,90,55,0,22,67,50,60,78,81,6'8'',66,69,1991,7.87,0.189733802
2012,Isaac Bonga,81,210,32,Magic,SF,3,3,13,42,51,86,15,69,34,100,97,84,86,0,84,100,37,45,66,53,82,47,63,65,51,0,27,68,90,96,76,61,6'9'',68,68,2592,10.23791389,0.189590998
2009,DeAndre Ayton,85,275,29,Clippers,C,1,1,9,46,38,43,30,45,43,94,77,38,45,0,47,25,76,91,23,49,58,69,76,100,84,0,53,80,58,35,88,88,7'1'',72,71,1808,7.14,0.189557522
2012,Stromile Swift,81,230,28,Globetrotters,C,1,1,8,42,44,14,34,4,10,90,75,5,31,0,40,20,72,66,21,38,35,82,80,74,66,0,82,83,40,29,73,75,6'9'',59,59,1819,7.150535512,0.188689227
2009,Shamorie Ponds,73,175,30,Globetrotters,PG,5,5,10,47,41,64,73,90,41,63,84,72,17,0,95,87,79,30,70,30,93,29,50,42,57,0,83,68,78,96,81,49,6'1'',72,72,2982,11.72,0.188651911
2011,Jay Williams,74,200,26,Bucks,PG,5,5,5,55,64,55,33,66,22,92,76,99,28,0,92,60,65,35,80,42,83,15,32,47,73,0,30,70,88,68,82,47,6'2'',70,71,2878,11.30024134,0.188468236
2012,Terrell Brandon,72,175,25,Mavericks,PG,5,5,4,55,64,58,41,40,55,76,100,62,36,0,80,66,67,8,44,24,30,22,30,40,71,0,89,79,81,72,34,42,6'0'',59,63,1325,5.189394803,0.18799317
2010,Livio Jean-Charles,81,230,24,Lakers,PF,2,2,6,49,57,87,54,21,46,100,79,5,75,0,71,5,69,51,36,42,54,27,76,66,82,0,72,88,42,18,57,72,6'9'',63,66,2370,9.28,0.187949367
2012,Skylar Diggins,69,145,28,Oaks,PG,5,5,6,44,56,65,0,16,68,86,100,70,5,0,80,95,48,20,75,59,94,9,18,34,57,0,32,64,85,94,73,33,5'9'',72,72,2908,11.36921436,0.18766241
2012,Guy Beahm,80,235,32,Magic,SF,3,3,11,46,48,0,0,0,0,79,98,69,5,0,92,25,33,49,69,71,58,74,57,87,73,0,16,59,84,30,85,72,6'8'',65,65,2541,9.918282455,0.187358346
2010,Mitchell Robinson,83,245,29,Hawks,PF,2,2,8,45,46,79,12,64,1,79,77,5,34,0,69,18,59,76,52,36,12,91,78,40,76,0,76,78,41,27,86,60,6'11'',64,64,2259,8.81,0.187197875
2009,Miles Bridges,79,230,29,Timberwolves,SG,4,4,9,49,54,99,59,9,0,80,94,74,5,0,80,44,72,36,52,56,30,49,53,53,100,0,62,79,84,54,62,61,6'7'',66,66,3019,11.75,0.186816827
2009,Guy Beahm,80,235,29,Magic,SF,3,3,8,50,66,0,0,0,0,89,88,68,5,0,84,25,37,50,66,78,52,76,62,89,77,0,17,65,78,30,84,75,6'8'',66,67,2823,10.97,0.186524973
2010,Guy Beahm,80,235,30,Magic,SF,3,3,9,45,57,0,0,0,0,86,91,72,5,0,86,25,36,48,71,76,53,74,59,88,78,0,17,64,82,29,84,74,6'8'',66,66,2823,10.97,0.186524973
2011,Stephon Templeton,83,265,38,Raptors,C,1,1,14,44,54,12,21,2,44,90,90,27,51,0,75,29,62,98,14,49,40,75,52,55,90,0,55,80,58,38,87,60,6'11'',68,58,2333,9.052197741,0.186243245
2008,Victor Oladipo,76,210,24,Pacers,PG,5,5,3,49,70,65,35,78,56,78,89,95,57,0,74,70,68,12,96,84,60,5,33,50,55,0,42,63,92,75,76,46,6'4'',71,77,3015,11.65786968,0.185597925
2008,Simisola Shittu,82,240,26,Bullets,C,1,1,8,47,62,18,51,8,61,96,59,5,75,0,75,21,63,41,11,62,86,72,91,87,83,0,67,85,32,31,73,87,6'10'',66,67,3039,11.68,0.184481737
2011,Guy Beahm,80,235,31,Magic,SF,3,3,10,44,58,0,0,0,0,82,94,69,5,0,90,23,35,50,72,72,56,77,61,91,77,0,16,61,82,29,86,76,6'8'',66,66,2972,11.39331776,0.184010516
2010,Rick Fox,80,240,23,Hawks,SF,3,3,2,65,76,37,26,20,73,85,92,65,74,0,78,28,44,63,51,42,100,47,42,40,66,0,69,76,78,34,81,45,6'8'',62,66,2992,11.43,0.183368984
2012,Kenyon Martin,82,235,30,Globetrotters,PF,2,2,8,45,45,44,6,30,74,100,65,5,14,0,57,30,48,95,33,62,32,52,48,74,78,0,81,90,35,35,79,64,6'10'',64,64,2679,10.21665264,0.183053127
2010,Victor Oladipo,76,210,26,Pacers,PG,5,5,5,47,53,65,35,78,56,79,93,88,57,0,78,64,64,8,94,81,54,9,37,50,58,0,45,65,90,69,72,47,6'4'',69,69,3192,12.16,0.182857143
2010,Guy Beahm,80,235,30,Magic,SF,3,3,9,45,57,0,0,0,0,86,91,72,5,0,86,25,36,48,71,76,53,74,59,88,78,0,17,64,82,29,84,74,6'8'',66,66,3144,11.97,0.182748092
2008,Qyntel Woods,81,240,22,Suns,SF,3,3,2,57,62,45,28,20,92,100,98,38,35,0,88,33,74,34,72,31,64,56,39,71,65,0,57,80,68,45,75,59,6'9'',68,72,2959,11.26115274,0.182675002
2010,Simisola Shittu,82,240,28,Bulls,C,1,1,10,44,40,18,51,8,61,92,83,5,75,0,70,18,62,37,7,56,77,73,96,86,82,0,65,82,44,29,69,88,6'10'',66,65,2949,11.17756334,0.18193389
2009,Stephon Templeton,83,265,36,Suns,C,1,1,12,43,55,12,21,2,44,93,89,29,51,0,73,28,66,99,13,49,42,71,50,47,97,0,59,84,59,38,86,56,6'11'',69,66,2711,10.27,0.181836961
2008,George Mikan,85,265,34,Mavericks,C,1,1,13,42,41,83,7,55,74,95,97,5,53,0,41,25,53,56,31,39,20,48,72,83,95,0,86,92,51,30,62,79,7'1'',68,65,2724,10.25,0.18061674
2011,Sarunas Jasikevicius,76,202,31,Hornets,PG,5,5,8,43,50,6,77,29,41,61,83,79,96,0,96,62,67,17,76,48,72,14,19,18,48,0,37,51,81,71,72,25,6'4'',64,64,2539,9.55005115,0.180544488
2010,Qyntel Woods,81,245,24,Suns,SF,3,3,4,47,52,45,28,20,92,100,96,31,35,0,94,34,78,35,74,33,64,60,37,75,65,0,57,80,64,48,77,60,6'9'',68,71,3076,11.48,0.179141743
2008,Jock Landale,84,260,32,Knicks,C,1,1,11,38,46,57,84,42,80,92,93,5,38,0,40,7,42,60,29,16,87,48,61,84,85,0,47,77,49,13,62,74,7'0'',59,59,2197,8.18,0.178716431
2012,DerMarr Johnson,81,205,28,Oaks,SG,4,4,8,50,54,85,49,27,80,71,100,99,56,0,77,47,65,5,94,58,95,48,50,31,41,0,72,65,100,55,75,41,6'9'',69,69,3114,11.57991168,0.178495748
2012,Sarunas Jasikevicius,76,202,32,Hornets,PG,5,5,9,37,28,6,77,29,41,59,83,80,96,0,93,59,66,17,73,50,71,9,19,14,48,0,35,50,82,67,70,23,6'4'',63,62,2646,9.820336358,0.178146691
2012,RJ Cole,74,185,31,Pelicans,PG,5,5,12,40,50,41,76,89,34,88,99,82,86,0,82,68,37,20,34,93,36,15,40,43,50,0,86,80,90,68,39,43,6'2'',65,65,2655,9.848027143,0.178043429
2011,Jake Tsakalidis,86,285,28,Lakers,C,1,1,7,52,58,22,55,43,56,98,75,5,37,0,55,26,86,77,62,47,24,59,81,73,55,0,53,76,40,39,72,74,7'2'',66,66,2694,9.887668751,0.176172272
2012,Vlade Divac,85,265,22,Heat,C,1,1,1,61,52,73,15,28,85,98,69,15,16,0,47,34,24,91,33,50,62,59,68,68,81,0,29,74,42,33,78,68,7'1'',59,62,2003,7.312923891,0.175247302
2012,Donnell Harvey,80,220,28,Bulls,PF,2,2,8,46,44,72,83,67,7,98,92,7,62,0,77,68,51,100,71,37,49,61,93,82,50,0,23,66,50,70,78,79,6'8'',66,66,2792,10.11132827,0.173833724
2009,Rui Hachimura,80,245,30,Spurs,SF,3,3,10,46,36,45,12,50,92,93,84,74,56,0,78,35,47,42,64,42,57,53,5,100,80,0,39,74,79,40,73,61,6'8'',64,63,2736,9.88,0.173333333
2012,Mitchell Robinson,83,245,31,Globetrotters,PF,2,2,10,35,58,79,12,64,1,75,79,5,34,0,67,23,61,75,51,28,8,90,79,38,73,0,71,73,42,32,83,59,6'11'',63,63,1350,4.861936194,0.172868842
2010,RJ Cole,74,185,29,Knicks,PG,5,5,10,42,37,41,76,89,34,88,99,81,86,0,87,73,41,24,41,99,38,20,46,43,52,0,89,81,90,74,47,45,6'2'',68,67,3161,11.35,0.172350522
2011,Isaiah Canaan,73,185,28,Timberwolves,PG,5,5,6,53,52,48,90,30,44,71,88,80,80,0,80,79,59,23,71,19,78,38,5,50,52,0,25,53,84,82,67,35,6'1'',65,65,2485,8.920919603,0.17231555
2011,Pace Mannion,79,190,28,Lakers,SF,3,3,4,59,58,55,75,74,28,100,90,5,73,0,66,22,69,38,36,66,67,36,51,47,77,0,69,86,48,33,75,54,6'7'',58,58,2507,8.952304178,0.171404308
2010,Larry Johnson*,79,280,24,Hawks,SF,3,3,2,64,72,81,6,4,66,76,94,47,46,0,67,36,49,40,32,52,84,28,78,69,93,0,61,75,70,40,65,75,6'7'',61,65,2889,10.3,0.17113188
